Time,signal1,signal2,signal3
0,0,1,0
0.02,0.0199987,0.9998,0.01
0.04,0.0399893,0.9992,0.02
0.06,0.059964,0.998201,0.03
0.08,0.0799147,0.996802,0.04
0.1,0.0998334,0.995004,0.05
0.12,0.119712,0.992809,0.06
0.14,0.139543,0.990216,0.07
0.16,0.159318,0.987227,0.08
0.18,0.17903,0.983844,0.09
0.2,0.198669,0.980067,0.1
0.22,0.21823,0.975897,0.11
0.24,0.237703,0.971338,0.12
0.26,0.257081,0.96639,0.13
0.28,0.276356,0.961055,0.14
0.3,0.29552,0.955336,0.15
0.32,0.314567,0.949235,0.16
0.34,0.333487,0.942755,0.17
0.36,0.352274,0.935897,0.18
0.38,0.37092,0.928665,0.19
0.4,0.389418,0.921061,0.2
0.42,0.40776,0.913089,0.21
0.44,0.425939,0.904752,0.22
0.46,0.443948,0.896052,0.23
0.48,0.461779,0.886995,0.24
0.5,0.479426,0.877583,0.25
0.52,0.49688,0.867819,0.26
0.54,0.514136,0.857709,0.27
0.56,0.531186,0.847255,0.28
0.58,0.548024,0.836463,0.29
0.6,0.564642,0.825336,0.3
0.62,0.581035,0.813878,0.31
0.64,0.597195,0.802096,0.32
0.66,0.613117,0.789992,0.33
0.68,0.628793,0.777573,0.34
0.7,0.644218,0.764842,0.35
0.72,0.659385,0.751806,0.36
0.74,0.674288,0.738469,0.37
0.76,0.688921,0.724836,0.38
0.78,0.703279,0.710914,0.39
0.8,0.717356,0.696707,0.4
0.82,0.731146,0.682221,0.41
0.84,0.744643,0.667463,0.42
0.86,0.757843,0.652437,0.43
0.88,0.770739,0.637151,0.44
0.9,0.783327,0.62161,0.45
0.92,0.795602,0.60582,0.46
0.94,0.807558,0.589788,0.47
0.96,0.819192,0.57352,0.48
0.98,0.830497,0.557023,0.49
1,0.841471,0.540302,0.5
1.02,0.852108,0.523366,0.51
1.04,0.862404,0.50622,0.52
1.06,0.872355,0.488872,0.53
1.08,0.881958,0.471328,0.54
1.1,0.891207,0.453596,0.55
1.12,0.9001,0.435682,0.56
1.14,0.908633,0.417595,0.57
1.16,0.916803,0.39934,0.58
1.18,0.924606,0.380925,0.59
1.2,0.932039,0.362358,0.6
1.22,0.939099,0.343646,0.61
1.24,0.945784,0.324796,0.62
1.26,0.95209,0.305817,0.63
1.28,0.958016,0.286715,0.64
1.3,0.963558,0.267499,0.65
1.32,0.968715,0.248175,0.66
1.34,0.973485,0.228753,0.67
1.36,0.977865,0.209239,0.68
